Sr. no.,DO Sowing,DO Harvesting,No. of seeds,DO Germination,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds
35,12-01-2023,02-05-2023,16,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,1,05-06-2023,1,07-06-2023,1,09-06-2023,1,12-06-2023,16
36,12-01-2023,02-05-2023,15,08-05-2023,13,10-05-2023,13,17-05-2023,13,22-05-2023,13,24-05-2023,13,26-05-2023,13,29-05-2023,13,31-05-2023,13,02-06-2023,13,05-06-2023,13,07-06-2023,13,09-06-2023,14,12-06-2023,15
37,12-01-2023,02-05-2023,20,08-05-2023,19,10-05-2023,19,17-05-2023,19,22-05-2023,19,24-05-2023,19,26-05-2023,19,29-05-2023,19,31-05-2023,19,02-06-2023,19,05-06-2023,19,07-06-2023,19,09-06-2023,19,12-06-2023,20
38,12-01-2023,02-05-2023,17,08-05-2023,17,10-05-2023,17,17-05-2023,17,22-05-2023,17,24-05-2023,17,26-05-2023,17,29-05-2023,17,31-05-2023,17,02-06-2023,17,05-06-2023,17,07-06-2023,17,09-06-2023,17,12-06-2023,17
39,12-01-2023,02-05-2023,17,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,3,02-06-2023,3,05-06-2023,3,07-06-2023,3,09-06-2023,3,12-06-2023,17
40,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,16
41,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
42,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,16
43,12-01-2023,02-05-2023,18,08-05-2023,18,10-05-2023,18,17-05-2023,18,22-05-2023,18,24-05-2023,18,26-05-2023,18,29-05-2023,18,31-05-2023,18,02-06-2023,18,05-06-2023,18,07-06-2023,18,09-06-2023,18,12-06-2023,18
44,12-01-2023,02-05-2023,21,08-05-2023,21,10-05-2023,21,17-05-2023,21,22-05-2023,21,24-05-2023,21,26-05-2023,21,29-05-2023,21,31-05-2023,21,02-06-2023,21,05-06-2023,21,07-06-2023,21,09-06-2023,21,12-06-2023,21
45,12-01-2023,02-05-2023,15,08-05-2023,1,10-05-2023,1,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,1,05-06-2023,1,07-06-2023,1,09-06-2023,1,12-06-2023,15
46,12-01-2023,02-05-2023,17,08-05-2023,17,10-05-2023,17,17-05-2023,17,22-05-2023,17,24-05-2023,17,26-05-2023,17,29-05-2023,17,31-05-2023,17,02-06-2023,17,05-06-2023,17,07-06-2023,17,09-06-2023,17,12-06-2023,17
47,12-01-2023,02-05-2023,18,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,18
48,12-01-2023,02-05-2023,17,08-05-2023,16,10-05-2023,17,17-05-2023,17,22-05-2023,17,24-05-2023,17,26-05-2023,17,29-05-2023,17,31-05-2023,17,02-06-2023,17,05-06-2023,17,07-06-2023,17,09-06-2023,17,12-06-2023,17
49,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
50,12-01-2023,02-05-2023,16,08-05-2023,16,10-05-2023,16,17-05-2023,16,22-05-2023,16,24-05-2023,16,26-05-2023,16,29-05-2023,16,31-05-2023,16,02-06-2023,16,05-06-2023,16,07-06-2023,16,09-06-2023,16,12-06-2023,16
51,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
52,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
53,12-01-2023,02-05-2023,16,08-05-2023,7,10-05-2023,7,17-05-2023,7,22-05-2023,7,24-05-2023,7,26-05-2023,7,29-05-2023,7,31-05-2023,7,02-06-2023,7,05-06-2023,7,07-06-2023,7,09-06-2023,7,12-06-2023,16
54,12-01-2023,02-05-2023,16,08-05-2023,11,10-05-2023,11,17-05-2023,11,22-05-2023,11,24-05-2023,11,26-05-2023,11,29-05-2023,11,31-05-2023,11,02-06-2023,11,05-06-2023,11,07-06-2023,11,09-06-2023,11,12-06-2023,16
55,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
