name,sowing_date,harvesting_date,total_seeds,date_of_germination,number_of_seeds
rill_no_110,12-01-2023,02-05-2023,15,17-05-2023,6
rill_no_110,12-01-2023,02-05-2023,15,22-05-2023,6
rill_no_110,12-01-2023,02-05-2023,15,24-05-2023,6
rill_no_110,12-01-2023,02-05-2023,15,26-05-2023,6
rill_no_110,12-01-2023,02-05-2023,15,29-05-2023,6
rill_no_110,12-01-2023,02-05-2023,15,31-05-2023,6
rill_no_110,12-01-2023,02-05-2023,15,02-06-2023,7
rill_no_110,12-01-2023,02-05-2023,15,05-06-2023,8
rill_no_110,12-01-2023,02-05-2023,15,07-06-2023,10
rill_no_110,12-01-2023,02-05-2023,15,09-06-2023,10
rill_no_110,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_111,12-01-2023,02-05-2023,12,08-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,10-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,17-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,22-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,24-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,26-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,29-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,31-05-2023,12
rill_no_111,12-01-2023,02-05-2023,12,02-06-2023,12
rill_no_111,12-01-2023,02-05-2023,12,05-06-2023,12
rill_no_111,12-01-2023,02-05-2023,12,07-06-2023,12
rill_no_111,12-01-2023,02-05-2023,12,09-06-2023,12
rill_no_111,12-01-2023,02-05-2023,12,12-06-2023,12
rill_no_112,12-01-2023,02-05-2023,0,08-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,10-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,17-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,22-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,24-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,26-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,29-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,31-05-2023,0
rill_no_112,12-01-2023,02-05-2023,0,02-06-2023,0
rill_no_112,12-01-2023,02-05-2023,0,05-06-2023,0
rill_no_112,12-01-2023,02-05-2023,0,07-06-2023,0
rill_no_112,12-01-2023,02-05-2023,0,09-06-2023,0
rill_no_112,12-01-2023,02-05-2023,0,12-06-2023,0
rill_no_113,12-01-2023,02-05-2023,10,08-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,10-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,17-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,22-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,24-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,26-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,29-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,31-05-2023,9
rill_no_113,12-01-2023,02-05-2023,10,02-06-2023,9
rill_no_113,12-01-2023,02-05-2023,10,05-06-2023,9
rill_no_113,12-01-2023,02-05-2023,10,07-06-2023,9
rill_no_113,12-01-2023,02-05-2023,10,09-06-2023,9
rill_no_113,12-01-2023,02-05-2023,10,12-06-2023,10
rill_no_114,12-01-2023,02-05-2023,15,08-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,10-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,17-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,22-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,24-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,26-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,29-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,31-05-2023,15
rill_no_114,12-01-2023,02-05-2023,15,02-06-2023,15
rill_no_114,12-01-2023,02-05-2023,15,05-06-2023,15
rill_no_114,12-01-2023,02-05-2023,15,07-06-2023,15
rill_no_114,12-01-2023,02-05-2023,15,09-06-2023,15
rill_no_114,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_115,12-01-2023,02-05-2023,15,08-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,10-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,17-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,22-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,24-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,26-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,29-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,31-05-2023,15
rill_no_115,12-01-2023,02-05-2023,15,02-06-2023,15
rill_no_115,12-01-2023,02-05-2023,15,05-06-2023,15
rill_no_115,12-01-2023,02-05-2023,15,07-06-2023,15
rill_no_115,12-01-2023,02-05-2023,15,09-06-2023,15
rill_no_115,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_116,12-01-2023,02-05-2023,10,08-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,10-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,17-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,22-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,24-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,26-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,29-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,31-05-2023,9
rill_no_116,12-01-2023,02-05-2023,10,02-06-2023,9
rill_no_116,12-01-2023,02-05-2023,10,05-06-2023,9
rill_no_116,12-01-2023,02-05-2023,10,07-06-2023,9
rill_no_116,12-01-2023,02-05-2023,10,09-06-2023,9
rill_no_116,12-01-2023,02-05-2023,10,12-06-2023,10
rill_no_117,12-01-2023,02-05-2023,15,08-05-2023,7
rill_no_117,12-01-2023,02-05-2023,15,10-05-2023,9
rill_no_117,12-01-2023,02-05-2023,15,17-05-2023,9
rill_no_117,12-01-2023,02-05-2023,15,22-05-2023,9
rill_no_117,12-01-2023,02-05-2023,15,24-05-2023,9
rill_no_117,12-01-2023,02-05-2023,15,26-05-2023,9
rill_no_117,12-01-2023,02-05-2023,15,29-05-2023,9
rill_no_117,12-01-2023,02-05-2023,15,31-05-2023,9
rill_no_117,12-01-2023,02-05-2023,15,02-06-2023,9
rill_no_117,12-01-2023,02-05-2023,15,05-06-2023,10
rill_no_117,12-01-2023,02-05-2023,15,07-06-2023,11
rill_no_117,12-01-2023,02-05-2023,15,09-06-2023,11
rill_no_117,12-01-2023,02-05-2023,15,12-06-2023,15
rill_no_118,12-01-2023,02-05-2023,12,08-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,10-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,17-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,22-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,24-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,26-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,29-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,31-05-2023,12
rill_no_118,12-01-2023,02-05-2023,12,02-06-2023,12
rill_no_118,12-01-2023,02-05-2023,12,05-06-2023,12
rill_no_118,12-01-2023,02-05-2023,12,07-06-2023,12
